"실거래일자","거래구분","주문종목코드","수량","유가전잔","통화","외화금액전잔","외화정산금액","외화금액금잔","외화담보금","해외수수료","국내수수료(외화)","인지세(외화)","세금합(외화)","거래세/소득세(외화)","주민세/농특세(외화)","외화과표","해외납부세액(외화)","거래일자"
"거래번호","상세구분","주문종목명","단가","유가금잔","환율","원화금액전잔","원화정산금액","원화금액금잔","원화담보금","외화거래금액","국내수수료(원화)","","세금합(원화)","거래세/소득세(원화)","주민세/농특세(원화)","원화과표","해외납부세액(원화)",""
"2026/01/13","매도","UVIX US                                 ","500","49,555","USD","90.210","2,678.66","2,768.87","0","0","1.34","0","0","0","0","0","0","2026/01/13"
"2","외화증권매도","VIX 선물 2배 ETF","5.360000","49,055","1,464.100","0","0","0","0","2,680.00","0","0","0","0","0","0","0",
"2026/01/13","출금","UVIX US                                 ","500","49,055","","0","0","0","0","0","0","0","0","0","0","0","0","2026/01/13"
"3","매도상환","VIX 선물 2배 ETF","0","49,055","0","97,368","3,300,875","-3,203,507","0","0","0","0","0","0","0","0","0",
"2026/01/22","매도","BMNU US                                 ","64,754","0","USD","0","331,540.48","331,540.48","0","0","0","0","0","0","0","0","0","2026/01/22"
"3","외화증권매도","티렉스 비트마인 BMNR 2배 ETF","5.120000","-64,754","1,472.800","0","0","0","0","331,540.48","0","0","0","0","0","0","0",
"2026/01/22","매도","BMNU US                                 ","68,012","-64,754","USD","331,540.480","334,965.74","666,506.22","0","0","333.42","0","0","0","0","0","0","2026/01/22"
"4","외화증권매도","티렉스 비트마인 BMNR 2배 ETF","4.930000","-132,766","1,472.800","0","0","0","0","335,299.16","0","0","0","0","0","0","0",
"2026/01/22","매도","RKLZ US                                 ","2,000","0","USD","666,506.220","5,302.00","671,808.22","0","0","0","0","0","0","0","0","0","2026/01/22"
"5","외화증권매도","디파이언스 로켓랩 -2배 ETF","2.651000","-2,000","1,472.800","0","0","0","0","5,302.00","0","0","0","0","0","0","0",
"2026/01/22","매도","RKLZ US                                 ","124,655","-2,000","USD","671,808.220","330,167.93","1,001,976.15","0","0","167.82","0","0","0","0","0","0","2026/01/22"
"6","외화증권매도","디파이언스 로켓랩 -2배 ETF","2.650000","-126,655","1,472.800","0","0","0","0","330,335.75","0","0","0","0","0","0","0",
"2026/01/22","매도","UVIX US                                 ","2,377","49,055","USD","1,001,976.150","15,379.19","1,017,355.34","0","0","0","0","0","0","0","0","0","2026/01/22"
"7","외화증권매도","VIX 선물 2배 ETF","6.470000","46,678","1,472.800","0","0","0","0","15,379.19","0","0","0","0","0","0","0",
"2026/01/22","매도","UVIX US                                 ","4,000","46,678","USD","1,017,355.340","25,920.00","1,043,275.34","0","0","0","0","0","0","0","0","0","2026/01/22"
"8","외화증권매도","VIX 선물 2배 ETF","6.480000","42,678","1,472.800","0","0","0","0","25,920.00","0","0","0","0","0","0","0",
"2026/01/22","매도","UVIX US                                 ","42,678","42,678","USD","1,043,275.340","276,821.08","1,320,096.42","0","0","159.14","0","0","0","0","0","0","2026/01/22"
"9","외화증권매도","VIX 선물 2배 ETF","6.490000","0","1,472.800","0","0","0","0","276,980.22","0","0","0","0","0","0","0",
